Part Number,Description,Manufacturer,Cost,Quantity,Margin,Total
D250-004-I,1/16 HSS DYNO B&G DRILL 135SP.PT import,EAGLE TAPTEK,0.18,10,10,1.98
22693,"Vortex Drill Bit 1/4"" Mechanics Length",VIKING,6.64,10,10,73.04
DWDN1/2,1/2 HSS Black Oxide Jobber Length Drill Bit,DRILL AMERICA,1.62,10,10,17.82
22693,"Vortex Drill Bit 1/4"" Mechanics Length",VIKING,6.64,10,10,73.04
22753,"Vortex Drill Bit 11/32"" Mechanics Length",VIKING,10.3,10,10,113.3
TAC40-008-I,1/8 DRILL BIT,EAGLE TAPTEK,0.28,10,10,3.08
